SoA,color_swap,colors,orientations,position,position_x,position_y,shapes,target_ori,trial_id,trial_nr
0.1,0,1,-45,0,0.0,0.6,0,45,12,1
0.1,0,0,-45,1,0.424264068712,0.424264068712,0,45,12,1
0.1,0,0,45,2,0.6,3.67394039744e-17,0,45,12,1
0.1,0,0,45,3,0.424264068712,-0.424264068712,0,45,12,1
0.1,0,0,45,4,7.34788079488e-17,-0.6,0,45,12,1
0.1,0,0,45,5,-0.424264068712,-0.424264068712,1,45,12,1
0.1,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,12,1
0.1,0,0,-45,7,-0.424264068712,0.424264068712,0,45,12,1
0.1,0,1,-45,0,0.0,0.6,0,-45,9,2
0.1,0,0,-45,1,0.424264068712,0.424264068712,0,-45,9,2
0.1,0,0,45,2,0.6,3.67394039744e-17,0,-45,9,2
0.1,0,0,45,3,0.424264068712,-0.424264068712,0,-45,9,2
0.1,0,0,-45,4,7.34788079488e-17,-0.6,0,-45,9,2
0.1,0,0,-45,5,-0.424264068712,-0.424264068712,0,-45,9,2
0.1,0,0,45,6,-0.6,-1.10218211923e-16,0,-45,9,2
0.1,0,0,-45,7,-0.424264068712,0.424264068712,1,-45,9,2
0.4,1,0,-45,0,0.0,0.6,0,-45,30,3
0.4,1,0,-45,1,0.424264068712,0.424264068712,0,-45,30,3
0.4,1,0,-45,2,0.6,3.67394039744e-17,0,-45,30,3
0.4,1,0,45,3,0.424264068712,-0.424264068712,0,-45,30,3
0.4,1,0,-45,4,7.34788079488e-17,-0.6,0,-45,30,3
0.4,1,1,45,5,-0.424264068712,-0.424264068712,0,-45,30,3
0.4,1,0,-45,6,-0.6,-1.10218211923e-16,1,-45,30,3
0.4,1,0,45,7,-0.424264068712,0.424264068712,0,-45,30,3
0.1,1,0,45,0,0.0,0.6,1,45,15,4
0.1,1,0,-45,1,0.424264068712,0.424264068712,0,45,15,4
0.1,1,0,45,2,0.6,3.67394039744e-17,0,45,15,4
0.1,1,1,-45,3,0.424264068712,-0.424264068712,0,45,15,4
0.1,1,0,-45,4,7.34788079488e-17,-0.6,0,45,15,4
0.1,1,0,45,5,-0.424264068712,-0.424264068712,0,45,15,4
0.1,1,0,-45,6,-0.6,-1.10218211923e-16,0,45,15,4
0.1,1,0,-45,7,-0.424264068712,0.424264068712,0,45,15,4
0.05,0,0,-45,0,0.0,0.6,0,-45,1,5
0.05,0,0,-45,1,0.424264068712,0.424264068712,0,-45,1,5
0.05,0,0,-45,2,0.6,3.67394039744e-17,0,-45,1,5
0.05,0,0,45,3,0.424264068712,-0.424264068712,0,-45,1,5
0.05,0,0,45,4,7.34788079488e-17,-0.6,0,-45,1,5
0.05,0,0,-45,5,-0.424264068712,-0.424264068712,1,-45,1,5
0.05,0,1,-45,6,-0.6,-1.10218211923e-16,0,-45,1,5
0.05,0,0,45,7,-0.424264068712,0.424264068712,0,-45,1,5
0.2,0,0,-45,0,0.0,0.6,0,45,20,6
0.2,0,0,45,1,0.424264068712,0.424264068712,0,45,20,6
0.2,0,0,45,2,0.6,3.67394039744e-17,0,45,20,6
0.2,0,1,-45,3,0.424264068712,-0.424264068712,0,45,20,6
0.2,0,0,-45,4,7.34788079488e-17,-0.6,0,45,20,6
0.2,0,0,-45,5,-0.424264068712,-0.424264068712,0,45,20,6
0.2,0,0,45,6,-0.6,-1.10218211923e-16,1,45,20,6
0.2,0,0,-45,7,-0.424264068712,0.424264068712,0,45,20,6
0.05,1,0,-45,0,0.0,0.6,0,45,8,7
0.05,1,0,45,1,0.424264068712,0.424264068712,1,45,8,7
0.05,1,1,45,2,0.6,3.67394039744e-17,0,45,8,7
0.05,1,0,-45,3,0.424264068712,-0.424264068712,0,45,8,7
0.05,1,0,-45,4,7.34788079488e-17,-0.6,0,45,8,7
0.05,1,0,45,5,-0.424264068712,-0.424264068712,0,45,8,7
0.05,1,0,45,6,-0.6,-1.10218211923e-16,0,45,8,7
0.05,1,0,-45,7,-0.424264068712,0.424264068712,0,45,8,7
0.1,0,0,45,0,0.0,0.6,1,45,11,8
0.1,0,0,-45,1,0.424264068712,0.424264068712,0,45,11,8
0.1,0,0,-45,2,0.6,3.67394039744e-17,0,45,11,8
