"Informazioni cronologiche","Perceived Duration of Interval 1","Perceived Duration of Interval 2","Number of Explosions during Interval 2"
"2018/06/26 10:08:52 AM EET","8","11","22"
"2018/06/26 10:08:52 AM EET","8","10","22"
"2018/06/26 10:08:54 AM EET","13","12","14"
"2018/06/26 10:08:55 AM EET","9","10","30"
"2018/06/26 10:08:56 AM EET","13","10","22"
"2018/06/26 10:08:57 AM EET","9","9","25"
"2018/06/26 10:08:57 AM EET","9","9","25"
"2018/06/26 10:08:58 AM EET","12","15","24"
"2018/06/26 10:08:59 AM EET","7","13","26"
"2018/06/26 10:08:59 AM EET","12","10","25"
"2018/06/26 10:09:00 AM EET","9.3","11","24"
"2018/06/26 10:09:01 AM EET","9.5","9.5","23"
"2018/06/26 10:09:02 AM EET","11","11","25"
"2018/06/26 10:09:06 AM EET","7","9","15"
"2018/06/26 10:09:07 AM EET","25","10","26"
"2018/06/26 10:09:07 AM EET","20","15","30"
"2018/06/26 10:09:08 AM EET","15","13","30"
"2018/06/26 10:09:09 AM EET","6","8","20"
"2018/06/26 10:09:24 AM EET","0.15","0.15","12"
"2018/06/26 10:32:56 AM EET","9","10","30"
"2018/06/26 10:33:00 AM EET","9","10","30"
