"Informazioni cronologiche","Interval Test","Interval 1","Interval 2","Interval 3","Interval 4","Interval 5","Interval 6","Interval 7","Interval 8"
"2018/06/26 9:51:38 AM EET","3","4","9","5","10","1.5","6.7","13.9","15"
"2018/06/26 9:51:44 AM EET","","5","12","6","9","2","7","15","17"
"2018/06/26 9:51:46 AM EET","2","5","10","7","9","1","7","12","20"
"2018/06/26 9:51:46 AM EET","2","3","12","6","11","3","9","15","20"
"2018/06/26 9:51:46 AM EET","2","6","15","7","12","3","10","17 ","15"
"2018/06/26 9:51:46 AM EET","","7","20","12","35","1","8","45","60"
"2018/06/26 9:51:47 AM EET","2","4","14","7","11","1","7","17","22"
"2018/06/26 9:51:47 AM EET","","4","15","11","10","1","7","16","12"
"2018/06/26 9:51:47 AM EET","2","5 ","12","6","11","1","8","15","17"
"2018/06/26 9:51:48 AM EET","2","3.5","9","4.7","8","1.5","5","10","15"
"2018/06/26 9:51:50 AM EET","","3.5","8","4","6","1.5","5","8","9"
"2018/06/26 9:52:01 AM EET","","2","3","4","5","8","4","12","14"
"2018/06/26 9:52:13 AM EET","2","3","2","2","3","2","4","2","3"
"2018/06/26 9:52:18 AM EET","0.15 ","0.20","10","15","5","7","20","20","60"
"2018/06/26 9:52:52 AM EET","2","3.5","11","4","7","2","5","10","10"
